change_gdp;change_age;GDP1990;Pop1990;Age1990;Region_LAC;Region_EAS;Region_SAS;Region_AFR;Region_MNA;Region_ECA;Region_DEV;birthrate1960_1965;birthrate1965_1970;birthrate1970_1975;birthrate1975_1980;birthrate1980_1985;birthrate1985_1990
0.88264;0.39345;8.3242;1.1883;0.37177;0;0;0;0;0;1;0;39.301;33.688;30.392;27.727;26.399;25.921
0.28048;0.08331;9.2475;3.2547;0.2837;0;0;0;0;1;0;0;49.455;47.485;46.587;45.005;40.783;35.204
0.37074;-0.018771;8.681;2.4095;0.26502;0;0;0;1;0;0;0;53.82;53.002;53.002;53.458;53.221;52.906
0.17254;0.11331;9.7424;-2.7821;0.3794;1;0;0;0;0;0;0;32.081;31.236;26.932;19.35;19.161;18.795
0.63989;0.02828;9.2736;3.4883;0.56233;1;0;0;0;0;0;0;23.179;22.544;23.39;25.653;23.129;22.211
0.74063;0.23138;8.4274;1.2655;0.47777;0;0;0;0;0;1;0;34.894;24.579;22.535;22.063;22.892;23.235
0.0063673;0.46736;10.489;-2.7782;0.42938;1;0;0;0;0;0;0;32.916;26.252;22.9;22.499;22.29;20.79
0.44124;0.25212;10.328;2.8389;0.54045;0;0;0;0;0;0;1;21.412;19.939;19.114;15.804;15.499;15.051
0.35027;0.2504;10.285;2.0421;0.6961;0;0;0;0;0;0;1;18.608;17.249;13.702;11.49;11.758;11.214
0.64411;0.10413;9.1081;1.9764;0.38419;0;0;0;0;0;1;0;41.275;32.385;26.835;25.172;25.63;27.266
-0.049729;0.23932;10.046;-1.3613;0.2946;1;0;0;0;0;0;0;33.592;26.31;27.147;24.92;27.135;24.066
0.13138;0.053985;10.46;-0.70129;0.15948;0;0;0;0;1;0;0;45.593;41.519;35.152;33.004;32.969;31.402
0.85726;0.018787;7.2142;4.6633;0.29984;0;0;1;0;0;0;0;49.085;48.545;46.841;44.647;42.163;37.844
0.12518;0.40612;9.2508;-1.3456;0.43968;1;0;0;0;0;0;0;29.146;23.5;20.473;18.001;17.632;16.493
0.76028;0.12859;9.0752;2.3255;0.70343;0;0;0;0;0;1;0;22.391;17.436;15.77;15.638;16.589;15.309
0.29544;0.22918;10.249;2.3004;0.73822;0;0;0;0;0;0;1;17.158;15.33;13.648;12.347;12.095;11.896
0.37037;-0.0070243;8.5604;-1.6737;0.30717;1;0;0;0;0;0;0;43.655;42.185;41.953;42.387;39.874;37.23
0.32322;-0.035065;7.2872;1.6097;0.3005;0;0;0;1;0;0;0;45.329;46.506;46.852;47.178;47.175;46.8
1.2098;-0.016963;7.8095;-0.62455;0.30841;0;0;1;0;0;0;0;49.925;49.191;47.831;45.964;42.632;40.635
0.53422;0.054856;8.1691;1.9252;0.33575;1;0;0;0;0;0;0;43.904;42.769;41.817;41.151;39.229;36.56
1.713;0.40008;7.4181;1.5101;0.48852;0;0;0;0;0;1;0;30.273;25.237;22.382;18.545;18.614;16.367
0.64044;0.015958;8.9799;0.32195;0.24444;0;0;0;1;0;0;0;46.588;46.088;45.452;45;42.496;37.269
0.38608;0.18454;9.2365;5.0133;0.30494;1;0;0;0;0;0;0;42.34;37.153;33.88;32.856;30.931;26.394
